============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.001
Seed: 2
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260212_153751.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 113/200 | Loss: 0.0703 | Test Loss: 0.2697 | Train: 98.4% | Test: 93.0% | Avg10: 93.3% | Best: 94.8%
Ep 114/200 | Loss: 0.0725 | Test Loss: 0.2229 | Train: 98.4% | Test: 93.7% | Avg10: 93.3% | Best: 94.8%
Ep 115/200 | Loss: 0.0700 | Test Loss: 0.2835 | Train: 98.5% | Test: 92.8% | Avg10: 93.2% | Best: 94.8%
Ep 116/200 | Loss: 0.0695 | Test Loss: 0.2468 | Train: 98.6% | Test: 93.3% | Avg10: 93.2% | Best: 94.8%
Ep 117/200 | Loss: 0.0715 | Test Loss: 0.2677 | Train: 98.4% | Test: 92.9% | Avg10: 93.2% | Best: 94.8%
Ep 118/200 | Loss: 0.0724 | Test Loss: 0.3044 | Train: 98.4% | Test: 91.8% | Avg10: 93.0% | Best: 94.8%
Ep 119/200 | Loss: 0.0685 | Test Loss: 0.2534 | Train: 98.5% | Test: 93.2% | Avg10: 93.1% | Best: 94.8%
Ep 120/200 | Loss: 0.0686 | Test Loss: 0.2404 | Train: 98.5% | Test: 93.3% | Avg10: 93.0% | Best: 94.8%
Ep 121/200 | Loss: 0.0740 | Test Loss: 0.2805 | Train: 98.4% | Test: 92.5% | Avg10: 93.0% | Best: 94.8%
Ep 122/200 | Loss: 0.0718 | Test Loss: 0.2958 | Train: 98.5% | Test: 92.1% | Avg10: 92.9% | Best: 94.8%
Ep 123/200 | Loss: 0.0731 | Test Loss: 0.2937 | Train: 98.4% | Test: 92.2% | Avg10: 92.8% | Best: 94.8%
Ep 124/200 | Loss: 0.0734 | Test Loss: 0.2725 | Train: 98.4% | Test: 92.9% | Avg10: 92.7% | Best: 94.8%
Ep 125/200 | Loss: 0.0716 | Test Loss: 0.2829 | Train: 98.5% | Test: 92.8% | Avg10: 92.7% | Best: 94.8%
Ep 126/200 | Loss: 0.0721 | Test Loss: 0.2519 | Train: 98.4% | Test: 93.5% | Avg10: 92.7% | Best: 94.8%
Ep 127/200 | Loss: 0.0726 | Test Loss: 0.2586 | Train: 98.4% | Test: 93.3% | Avg10: 92.8% | Best: 94.8%
Ep 128/200 | Loss: 0.0728 | Test Loss: 0.2563 | Train: 98.4% | Test: 93.4% | Avg10: 92.9% | Best: 94.8%
Ep 129/200 | Loss: 0.0751 | Test Loss: 0.2865 | Train: 98.3% | Test: 92.3% | Avg10: 92.8% | Best: 94.8%
Ep 130/200 | Loss: 0.0720 | Test Loss: 0.2811 | Train: 98.4% | Test: 92.5% | Avg10: 92.8% | Best: 94.8%
Ep 131/200 | Loss: 0.0732 | Test Loss: 0.3085 | Train: 98.4% | Test: 92.2% | Avg10: 92.7% | Best: 94.8%
