============================================================
Training Configuration
============================================================
Dataset: metashift
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_metashift_mlp_h2048_e200_20260203_114645.txt
============================================================

Preparing MetaShift dataset (using CIFAR-10 cats and dogs as proxy)...
MetaShift proxy dataset prepared.
Dataset: METASHIFT | Device: cuda | Model: MLP | Params: 12,227,650

Ep 179/200 | Loss: 0.0460 | Test Loss: 0.7158 | Train: 98.4% | Test: 85.7% | Best: 86.7%
Ep 180/200 | Loss: 0.0308 | Test Loss: 0.7393 | Train: 98.8% | Test: 85.2% | Best: 86.7%
Ep 181/200 | Loss: 0.0547 | Test Loss: 0.8305 | Train: 98.3% | Test: 85.5% | Best: 86.7%
Ep 182/200 | Loss: 0.0434 | Test Loss: 0.8306 | Train: 98.5% | Test: 83.7% | Best: 86.7%
Ep 183/200 | Loss: 0.0423 | Test Loss: 0.8486 | Train: 98.6% | Test: 84.5% | Best: 86.7%
Ep 184/200 | Loss: 0.0381 | Test Loss: 0.6683 | Train: 98.6% | Test: 86.7% | Best: 86.7%
Ep 185/200 | Loss: 0.0437 | Test Loss: 0.7752 | Train: 98.5% | Test: 85.0% | Best: 86.7%
Ep 186/200 | Loss: 0.0434 | Test Loss: 0.6288 | Train: 98.6% | Test: 86.7% | Best: 86.7%
Ep 187/200 | Loss: 0.0352 | Test Loss: 0.6894 | Train: 98.7% | Test: 86.2% | Best: 86.7%
Ep 188/200 | Loss: 0.0409 | Test Loss: 0.7215 | Train: 98.5% | Test: 85.8% | Best: 86.7%
Ep 189/200 | Loss: 0.0376 | Test Loss: 0.6771 | Train: 98.7% | Test: 86.2% | Best: 86.7%
Ep 190/200 | Loss: 0.0388 | Test Loss: 0.8311 | Train: 98.7% | Test: 85.5% | Best: 86.7%
Ep 191/200 | Loss: 0.0460 | Test Loss: 0.6521 | Train: 98.3% | Test: 86.0% | Best: 86.7%
Ep 192/200 | Loss: 0.0392 | Test Loss: 0.7812 | Train: 98.5% | Test: 85.0% | Best: 86.7%
Ep 193/200 | Loss: 0.0385 | Test Loss: 0.7990 | Train: 98.7% | Test: 85.7% | Best: 86.7%
Ep 194/200 | Loss: 0.0364 | Test Loss: 0.7031 | Train: 98.5% | Test: 85.3% | Best: 86.7%
Ep 195/200 | Loss: 0.0384 | Test Loss: 0.7662 | Train: 98.6% | Test: 85.5% | Best: 86.7%
Ep 196/200 | Loss: 0.0354 | Test Loss: 0.7086 | Train: 98.6% | Test: 85.6% | Best: 86.7%
Ep 197/200 | Loss: 0.0382 | Test Loss: 0.6646 | Train: 98.6% | Test: 86.8% | Best: 86.8%
Ep 198/200 | Loss: 0.0361 | Test Loss: 0.7329 | Train: 98.7% | Test: 85.5% | Best: 86.8%
Ep 199/200 | Loss: 0.0353 | Test Loss: 0.7927 | Train: 98.6% | Test: 85.0% | Best: 86.8%
Ep 200/200 | Loss: 0.0374 | Test Loss: 0.6769 | Train: 98.7% | Test: 86.3% | Best: 86.8%

============================================================
Training completed!
Total training time: 2309.66s (38.49m)
Best test accuracy: 86.80%
Model saved to: ./best.pt
Log saved to: .\logs\train_metashift_mlp_h2048_e200_20260203_114645.txt
============================================================
